name,height,reach,stance,age,weight_class,weight_class_numeric,avg_sig_str,avg_td_pct,avg_sub_att,ko_ratio,sub_ratio,defense,total_fights,win_streak
Alexandre Pantoja,165.1,170.18,Orthodox,34,Flyweight,1,4.41,0.47,0.8,0.16666666666666666,0.3333333333333333,2.5,42,6
Kai Asakura,172.72,175.26,Orthodox,31,Flyweight,1,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Shavkat Rakhmonov,185.42,195.58,Orthodox,30,Welterweight,5,4.12,0.29,1.8,0.16666666666666666,0.8333333333333334,2.5,11,6
Ian Machado Garry,190.5,187.96,Orthodox,27,Welterweight,5,5.5,0.55,0.3,0.375,0.0,2.5,20,8
Ciryl Gane,193.04,205.74,Orthodox,34,Heavyweight,8,5.49,0.21,0.5,0.4444444444444444,0.2222222222222222,2.5,33,1
Alexander Volkov,200.66,203.2,Orthodox,36,Heavyweight,8,5.13,0.63,0.2,0.5,0.08333333333333333,2.5,44,4
Bryce Mitchell,177.8,177.8,Southpaw,30,Featherweight,3,2.3,0.41,1.6,0.0,0.14285714285714285,2.5,22,0
Kron Gracie,175.26,177.8,Southpaw,36,Featherweight,3,3.74,0.25,0.5,0.0,1.0,2.5,7,0
Nate Landwehr,175.26,182.88,Orthodox,36,Featherweight,3,6.25,0.41,1.0,0.2,0.4,2.5,17,1
Dooho Choi,177.8,177.8,Orthodox,33,Featherweight,3,4.41,0.37,0.8,1.0,0.0,2.5,15,1
Dominick Reyes,193.04,195.58,Southpaw,34,Light Heavyweight,7,4.87,0.28,0.3,0.5714285714285714,0.14285714285714285,2.5,21,1
Anthony Smith,193.04,193.04,Orthodox,36,Light Heavyweight,7,3.24,0.26,0.6,0.4666666666666667,0.4,2.5,63,0
Vicente Luque,180.34,190.5,Orthodox,33,Welterweight,5,5.07,0.53,0.6,0.5333333333333333,0.3333333333333333,2.5,47,0
Themba Gorimbo,185.42,195.58,Orthodox,33,Welterweight,5,3.11,0.65,0.6,0.25,0.0,2.5,12,4
Movsar Evloev,170.18,182.88,Orthodox,30,Featherweight,3,4.43,0.46,0.2,0.0,0.0,2.5,24,8
Aljamain Sterling,170.18,180.34,Orthodox,35,Featherweight,3,4.61,0.27,0.7,0.125,0.25,2.5,57,1
Randy Brown,190.5,198.12,Orthodox,34,Welterweight,5,4.38,0.39,0.6,0.23076923076923078,0.23076923076923078,2.5,43,3
Bryan Battle,185.42,195.58,Orthodox,30,Welterweight,5,5.44,0.23,0.5,0.5,0.3333333333333333,2.5,16,3
Chris Weidman,187.96,198.12,Orthodox,40,Catch Weight,4,3.18,0.42,0.8,0.3333333333333333,0.25,2.5,46,1
Eryk Anders,185.42,190.5,Southpaw,37,Catch Weight,4,3.41,0.26,0.1,0.5,0.0,2.5,44,1
Cody Durden,170.18,170.18,Southpaw,33,Flyweight,1,3.35,0.5,0.9,0.16666666666666666,0.16666666666666666,2.5,24,1
Joshua Van,165.1,165.1,Orthodox,23,Flyweight,1,8.39,0.63,0.0,0.25,0.0,2.5,14,1
Michael Chiesa,185.42,190.5,Southpaw,37,Welterweight,5,1.86,0.51,1.0,0.0,0.5833333333333334,2.5,41,1
Max Griffin,180.34,193.04,Orthodox,39,Welterweight,5,3.92,0.41,0.3,0.375,0.0,2.5,44,1
Clay Guida,170.18,177.8,Orthodox,42,Lightweight,4,2.64,0.36,0.6,0.1,0.25,2.5,105,0
Chase Hooper,185.42,187.96,Southpaw,25,Lightweight,4,5.08,0.24,2.3,0.2857142857142857,0.42857142857142855,2.5,23,3
Kennedy Nzechukwu,195.58,210.82,Southpaw,32,Heavyweight,8,5.34,0.45,0.2,0.6666666666666666,0.1111111111111111,2.5,31,1
Lukasz Brzeski,193.04,198.12,Orthodox,32,Heavyweight,8,4.9,0.5,0.5,0.0,0.5,2.5,14,0
Petr Yan,170.18,170.18,Switch,31,Bantamweight,2,5.11,0.49,0.1,0.4444444444444444,0.0,2.5,45,1
